book,300,398,58
read,0,260,65
page,0,279,159
cover,15,247,385
author,15,415,191
writer,30,18,68
publish,15,17,197
sold,30,189,62
sell,30,371,265
buy,30,323,329
curl,45,402,547
up,45,113,370
enjoy,0,168,499
hate,15,352,512
interest,15,23,402
boring,300,76,245
text,30,222,523
numbers,300,50,464
best,30,102,408
worst,0,113,159
plot,15,184,128
story,300,139,538
flip,30,28,335
book,15,161,252
mark,45,209,333
stop,30,337,223
wait,300,371,351
bed,0,247,301
sleep,15,20,451
help,300,56,151
doze,45,146,300
light,0,418,481
word,15,168,421
sentence,30,231,186
story,300,311,93
flip,0,85,68
through,15,334,171
