stole,45,953,494
landscape,45,584,490
turn,0,572,140
car,300,819,451
truck,30,735,461
new,45,618,298
accident,30,701,349
auto,30,843,349
arrive,15,926,395
stolen,45,942,292
road,0,785,19
steal,45,745,271
fast,0,775,355
speed,0,891,443
Corolla,300,607,168
chase,300,567,252
wheel,15,915,65
Ford,0,870,306
travel,30,867,96
steer,15,795,111
race,45,941,173
cops,30,767,190
drive,30,640,96
hood,15,687,265
buy,45,836,238
Mustang,30,752,135
Toyota,30,808,385
body,45,555,377
crash,0,952,265
accelerate,300,637,-6
faster,300,652,198
wheels,45,630,365
cruise,30,665,455
ride,45,787,537
police,300,822,508
trunk,300,705,93
