cat,300,42,539
fluffy,45,62,397
fur,0,318,459
sneeze,300,98,388
scratch,300,170,412
climb,0,257,486
sleep,30,344,528
nap,0,274,377
purr,45,333,373
orange,15,128,506
black,30,76,308
Siamese,45,204,257
tabby,15,346,120
rub,300,395,187
whiskers,0,240,163
dark,0,68,178
creep,15,274,56
hunt,30,178,154
mice,30,138,240
mouse,0,17,231
pounce,300,173,32
jump,45,276,196
lazy,15,393,483
cuddle,300,390,345
crouch,15,146,301
grumpy,300,-4,317
scare,45,124,112
catnip,0,239,106
claw,15,376,30
paw,45,361,279
kitten,300,9,101
chase,300,-2,445
curl,15,140,66
up,30,66,70
toy,15,17,22
litter,15,82,26
