chair,45,35,525
sit,15,62,437
build,0,118,540
make,15,203,251
nap,0,253,129
sleep,0,245,177
talk,45,384,479
chat,45,347,212
watch,300,72,287
TV,300,234,537
break,30,260,407
broke,45,25,308
fall,45,30,148
down,0,447,401
fat,45,309,166
big,45,405,368
comfy,0,318,283
best,300,219,43
fluffy,0,344,549
wooden,45,155,364
roll,300,91,367
race,0,156,303
couch,0,38,403
lazyboy,0,221,309
work,0,350,378
eat,15,418,536
work,30,139,464
doze,0,87,202
laze,0,172,139
back,0,338,70
sore,0,305,115
lumbar,45,409,259
cushion,15,276,460
squeak,15,40,106
wheel,0,146,44
arm,0,68,79
