shirt,45,688,391
pants,30,921,353
jeans,45,938,451
jacket,0,540,418
put,0,819,93
on,30,669,474
wear,300,842,514
rip,0,636,101
tore,300,588,383
style,30,594,173
stylish,300,929,101
beautiful,0,724,237
hat,30,537,92
wore,300,832,293
stripe,30,545,314
strip,30,773,285
remove,15,696,328
pile,45,674,219
floor,0,808,460
long,15,795,503
dress,30,882,41
flowing,300,930,187
wrinkle,15,823,145
pocket,15,829,340
collar,0,813,46
ugly,45,828,192
get,0,506,201
under,15,622,506
low,15,636,320
cut,15,920,275
tight,15,525,274
big,45,748,473
small,0,488,344
sleeve,45,685,107
worn,45,573,227
off,300,471,425
down,45,757,147
