dog,30,766,272
puppy,0,884,227
jump,0,823,172
bark,45,922,523
growl,45,555,129
coat,300,892,477
fur,30,691,32
pet,30,773,140
pat,15,896,146
sleep,45,807,104
couch,15,678,225
scratch,45,588,344
dig,30,667,169
chase,300,626,269
cat,30,822,297
mailman,15,894,70
pee,30,944,172
hydrant,15,951,259
Dalmatian,30,534,195
man's,45,800,22
best,0,764,100
friend,0,708,312
curl,45,544,438
up,300,573,70
ears,300,609,64
paw,0,927,441
chew,15,897,308
toy,0,985,437
squeak,0,857,382
Spot,300,697,368
house,45,691,429
kennel,0,762,503
tail,300,645,502
wag,300,710,90
ear,15,755,44
eye,15,577,296
