lake,300,604,541
swim,300,834,368
jump,15,752,518
tire,0,936,490
swing,0,892,549
doggy,0,605,403
drown,0,925,220
breath,45,682,517
hold,0,761,302
nose,30,526,466
pinch,30,635,312
breathe,0,920,46
rock,45,536,243
dive,15,825,192
canoe,15,881,110
boat,15,714,144
paddle,30,940,380
kids,0,597,201
children,300,722,416
family,45,832,129
picnic,15,902,273
water,30,828,277
splash,0,627,92
float,300,734,341
skinny,0,809,44
dip,45,603,346
date,15,762,79
Diefenbaker,45,774,465
pike,300,709,230
fish,15,767,197
catch,15,635,249
river,15,578,441
rod,0,902,326
reel,15,931,165
tube,30,797,353
flow,45,701,39
