planet,0,1154,459
Earth,300,1033,287
space,45,1106,52
star,45,821,498
moon,300,798,284
orbit,0,887,135
huge,15,852,233
large,15,1196,142
round,45,932,475
comet,30,921,10
fly,15,928,640
trip,45,723,680
shuttle,45,734,510
journey,0,713,427
settle,0,1217,656
pole,45,1127,253
water,0,575,441
light,0,687,349
year,300,782,437
galaxy,45,1093,502
Milky,45,809,136
Way,30,678,220
Jupiter,0,840,646
Mercury,45,938,237
Pluto,0,1021,204
dig,15,994,457
mine,0,1188,297
travel,15,1102,381
distance,300,798,30
colonize,300,605,629
destroy,15,655,536
friends,15,823,683
peace,0,760,222
come,45,887,276
aliens,15,1013,108
conquer,0,797,595
ration,0,1025,683
