ing,15,599,487
ed,45,626,534
ly,45,597,520
or,300,641,458
was,0,54,111
sky,45,451,97
on,15,105,171
do,300,464,398
s,300,512,361
hear,15,406,43
where,45,31,34
to,15,735,193
August,15,166,278
ed,300,583,428
black,0,337,483
that,0,776,372
did,300,505,76
horizon,30,400,194
ly,15,675,399
knew,300,815,214
there,300,473,337
is,15,376,155
but,30,48,383
old,15,728,525
ing,15,256,102
none,30,86,552
not,300,742,333
she,45,300,86
sunset,30,547,355
saw,0,2,251
September,300,711,205
he,15,667,345
s,15,29,531
a,300,857,274
the,0,957,381
home,45,130,23
sunrise,300,347,312
their,0,224,392
yell,45,409,444
as,300,673,473
a,300,508,436
horizon,300,155,98
cloudy,30,819,433
I,15,828,373
was,45,18,185
enough,0,224,194
sunny,300,265,198
there,15,858,540
heard,300,664,509
that,45,371,504
the,15,373,114
green,30,255,293
sky,45,203,14
breeze,45,484,227
by,300,803,541
where,30,314,360
leave,300,307,419
no,0,77,197
red,15,16,347
and,15,929,578
I,300,463,439
above,30,615,191
said,30,177,237
his,45,23,471
the,45,750,411
this,15,182,203
below,30,245,457
old,300,629,419
on,300,410,334
is,45,76,489
as,15,275,383
by,300,769,437
house,45,92,400
too,300,527,396
but,0,869,335
and,30,667,74
you,45,623,333
was,45,539,22
were,300,521,282
you,15,302,24
river,0,620,23
for,45,862,416
the,300,502,138
this,45,633,119
summer,30,191,523
say,30,936,13
did,30,969,95
were,300,958,477
he,30,973,320
all,0,908,272
top,30,867,107
no,45,980,217
in,300,939,134
s,0,693,279
named,30,855,-5
are,30,976,152
before,0,452,477
after,0,537,535
one,30,457,516
her,15,541,491
my,0,581,191
if,0,635,161
