oak,15,184,36
tall,15,149,518
needles,0,65,114
grew,30,382,61
water,0,61,24
slowly,15,329,113
plant,45,354,266
maple,0,243,130
blossom,300,373,195
cut,30,255,387
seed,300,107,381
sprout,15,15,369
bush,0,160,140
cherry,30,317,354
trunk,300,48,477
fall,30,263,534
grow,0,103,159
buds,15,161,78
leaves,0,344,181
climb,300,351,493
bud,30,125,243
root,45,155,182
slow,0,334,235
chop,300,0,453
leap,30,453,116
play,0,244,243
spruce,30,168,452
bird,30,295,34
flower,0,98,299
jump,300,157,303
tree,45,255,291
beautiful,45,500,474
leaf,45,44,174
bloom,45,264,173
nest,45,45,228
grass,30,419,288
pretty,15,402,558
